gene_id,pyrEplusFe2,pyrEplusFe3,troRplusFe1,troRplusFe2,troRplusFe3
HVO_RS03305,59,47,127,143,66
HVO_RS03310,0,1,2,2,1
HVO_RS03315,229,287,461,404,261
HVO_RS03320,41,58,97,94,59
HVO_RS03330,16,16,53,31,24
HVO_RS03340,39,43,130,115,60
HVO_RS03345,305,380,480,504,325
HVO_RS03350,459,575,525,369,391
HVO_RS03355,117,133,224,197,156
HVO_RS03360,51,55,104,101,36
HVO_RS03365,19,18,36,40,14
HVO_RS03370,33,39,60,59,36
HVO_RS03375,245,343,289,268,166
HVO_RS03380,17,16,31,34,19
HVO_RS03390,245,394,466,323,230
HVO_RS03405,731,982,2255,1796,1105
HVO_RS03440,1,0,0,3,0
HVO_RS03450,4,14,14,19,6
HVO_RS03455,9,18,12,26,10
HVO_RS03460,241,361,539,334,317
HVO_RS03465,77,151,227,169,101
HVO_RS03470,107,124,178,163,128
HVO_RS03475,1,0,0,2,0
HVO_RS03480,181,261,162,132,105
HVO_RS03485,9,12,9,15,20
HVO_RS03490,0,0,0,0,0
HVO_RS03495,817,881,599,371,393
HVO_RS03500,682,878,470,300,318
HVO_RS03505,131,189,388,308,227
HVO_RS03515,20,40,16,34,20
HVO_RS03520,10,22,5,10,10
HVO_RS03525,75,97,109,127,77
HVO_RS03530,40,81,92,86,50
HVO_RS03535,104,127,151,157,93
HVO_RS03540,154,179,197,148,107
HVO_RS03545,92,152,138,114,99
HVO_RS03550,36,33,105,113,52
HVO_RS03555,12,15,24,28,20
HVO_RS03560,46,68,87,84,49
HVO_RS03565,49,92,130,113,72
HVO_RS03570,107,180,282,222,148
HVO_RS03575,354,497,707,602,432
HVO_RS03580,18,31,58,61,31
HVO_RS03585,197,275,370,350,208
HVO_RS03600,11,24,22,17,15
HVO_RS03605,11,11,15,20,6
HVO_RS03610,1348,1591,1273,971,814
HVO_RS03615,834,1099,905,696,597
HVO_RS03620,279,406,515,399,246
HVO_RS03625,374,424,635,542,333
HVO_RS03630,327,431,504,413,303
HVO_RS03635,7,18,24,25,11
HVO_RS03645,124,212,458,386,258
HVO_RS03650,126,124,121,83,82
HVO_RS03665,0,5,0,1,3
HVO_RS03675,25,27,33,44,30
HVO_RS03680,4,5,16,17,6
HVO_RS03685,46,43,39,36,34
HVO_RS03690,0,0,0,0,0
HVO_RS03695,72,102,111,72,53
HVO_RS03700,158,226,247,257,216
HVO_RS03705,71,109,106,76,56
HVO_RS03710,141,196,265,237,199
HVO_RS03720,30,26,44,42,27
HVO_RS03730,2,5,2,11,6
HVO_RS03740,205,279,309,221,179
HVO_RS03745,189,272,461,333,223
HVO_RS03750,902,1203,1040,867,543
HVO_RS03755,194,245,750,614,397
HVO_RS03765,16,33,39,29,13
HVO_RS03770,0,0,0,0,0
HVO_RS03775,0,4,9,13,1
HVO_RS03780,4,6,10,10,5
HVO_RS03785,531,725,624,450,413
HVO_RS03790,710,969,1252,912,758
HVO_RS03795,941,1289,1861,1397,992
HVO_RS03800,64,100,319,355,169
HVO_RS03805,462,591,1233,1085,582
HVO_RS03810,39,74,72,43,45
HVO_RS03815,189,270,481,381,274
HVO_RS03820,304,463,504,364,297
HVO_RS03825,0,0,0,1,0
HVO_RS03830,2,0,6,6,1
HVO_RS03835,0,0,0,0,0
HVO_RS03840,198,260,90,48,61
HVO_RS03845,2351,3749,1198,1052,960
HVO_RS03850,1534,2245,1058,982,631
HVO_RS03855,656,965,694,584,486
HVO_RS03865,4,2,4,4,2
HVO_RS03870,0,0,0,3,0
HVO_RS03875,654,897,1378,1182,752
HVO_RS03880,333,527,806,616,442
HVO_RS03900,7160,8120,3959,3036,3003
HVO_RS03905,166,235,526,441,244
HVO_RS03910,553,745,1082,791,566
HVO_RS03915,45,73,92,70,53
HVO_RS03920,148,229,248,222,132
HVO_RS03925,160,235,285,264,163
HVO_RS03930,988,1444,1073,905,796
HVO_RS03935,802,985,1002,922,704
HVO_RS03940,270,346,489,453,312
HVO_RS03945,9334,11817,24126,16170,13861
HVO_RS03950,45,57,167,156,101
HVO_RS03955,224,354,622,463,408
HVO_RS03960,4746,5309,14067,10268,9506
HVO_RS03965,124,139,277,217,136
HVO_RS03970,161,192,222,182,136
HVO_RS03990,34,39,91,63,51
HVO_RS03995,237,296,434,429,261
HVO_RS04005,299,330,938,713,505
HVO_RS04010,99,116,201,190,116
HVO_RS04015,511,510,610,515,304
HVO_RS04020,138,159,292,296,153
HVO_RS04025,7,3,11,8,6
HVO_RS04030,2,4,11,6,1
HVO_RS04035,36,53,89,65,66
