"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","ID"
"105","194",0.754261111804575,0.317915079665276,0.0320198789093987,9.88920911056966,21.6474016819748,32.3991449028657,32.1000208333333,0.0238398480130156,"SH117","troR","PR","(250Fe)",1,3,"troR ((250Fe))"
"106","195",0.755907978133544,0.302817194104318,0.0358592146349591,11.2373684728177,19.3296810210728,32.713043108934,32.4055225,0.0240420985558265,"SH117","troR","PR","(250Fe)",2,3,"troR ((250Fe))"
"107","196",0.782487904758439,0.2813627791429,0.0313165593978298,18.4314933401977,22.1335674763806,30.5304171252624,30.2340158333333,0.0263292605091298,"SH117","troR","PR","(250Fe)",3,3,"troR ((250Fe))"
"108","197",0.671048226418311,0.275679038487436,0.0765096551501012,4.71290447824631,9.0596040355964,35.9022632220713,35.5937758333333,0.0239633470888102,"AKS338","arsR","PR","(250Fe)",1,1,"arsR ((250Fe))"
"109","198",0.62312132188616,0.255989757065335,0.085034764698553,4.24041672986678,8.15133884379103,34.0256853180221,33.7362341666667,0.0227574554742508,"AKS338","arsR","PR","(250Fe)",2,1,"arsR ((250Fe))"
"110","199",0.607459160810387,0.262570197355927,0.0869080086689781,3.13784724290242,7.97564218966353,33.6543877621099,33.3737291666667,0.0224632941090443,"AKS338","arsR","PR","(250Fe)",3,1,"arsR ((250Fe))"
"112","20",0.338338090604324,0.262391419474216,0.0776514348971263,-15.9662981073958,8.92639242891308,20.8924519652759,20.7306633333333,0.00598568217304201,"SH118","idr","PR","(--Fe)",1,3,"idr ((--Fe))"
"113","21",0.348522412927755,0.27725245820267,0.0497306675795202,-27.3162157765167,13.9380228397616,21.1213905906815,20.953205,0.0050223318051998,"SH118","idr","PR","(--Fe)",2,3,"idr ((--Fe))"
"114","22",0.358631651559561,0.277271612122408,0.0299934765151478,-40.8793338063984,23.1099312615489,20.7237854960884,20.5566908333333,0.00632639181534846,"SH118","idr","PR","(--Fe)",3,3,"idr ((--Fe))"
"115","23",0.357237002482927,0.264968845813135,0.0468462733906762,-22.5186145221319,14.7962074758737,21.0672877832768,20.8986683333333,0.00606292064093575,"SH119","sirR","PR","(--Fe)",1,1,"sirR ((--Fe))"
"116","24",0.34805500646998,0.264955794617891,0.0611531032381678,-18.9610619972542,11.3346198942743,21.1043642686571,20.93942,0.00542290830485991,"SH119","sirR","PR","(--Fe)",2,1,"sirR ((--Fe))"
"117","25",0.349671853144857,0.266988114796649,0.0508726303777644,-23.0414898223688,13.625149228826,20.9518146039339,20.7854225,0.00575027402845988,"SH119","sirR","PR","(--Fe)",3,1,"sirR ((--Fe))"
"118","26",0.407027056338724,0.255911239271398,0.0451711477412528,-11.6619600306122,15.344909642996,22.5533670039808,22.3606633333333,0.00559949527260591,"SH119","sirR","PR","(--Fe)",1,2,"sirR ((--Fe))"
"119","27",0.441855372082086,0.253182522069018,0.0327189474075337,-8.9885561763959,21.1848862961999,22.3497951323843,22.1529041666667,0.00750189502806024,"SH119","sirR","PR","(--Fe)",2,2,"sirR ((--Fe))"
"120","28",0.515092136215081,0.278820473731726,0.0206491183959096,-8.01902788228022,33.5678825250599,23.1592765846625,22.9571825,0.00655638100112479,"SH119","sirR","PR","(--Fe)",3,2,"sirR ((--Fe))"
"121","29",0.370229458573956,0.272997952632532,0.0434116906221545,-23.7809098586379,15.9668322202178,21.6455278838862,21.472175,0.00611079184384559,"SH119","sirR","PR","(--Fe)",1,3,"sirR ((--Fe))"
"123","30",0.36142725296374,0.267164953460411,0.063917875501298,-16.2988044606832,10.8443401024158,21.8152138440345,21.6401733333333,0.00569497867638775,"SH119","sirR","PR","(--Fe)",2,3,"sirR ((--Fe))"
"124","31",0.346325556894822,0.272955263270212,0.0490437507537498,-26.7880974858408,14.1332416445932,20.9078931362119,20.7409458333333,0.00497611564457446,"SH119","sirR","PR","(--Fe)",3,3,"sirR ((--Fe))"
"125","32",249242.761400293,0.287153434852209,0.00519427085738499,2632.50039496938,133.444558358842,22.2025563050744,22.010205,0.0058829054089797,"SH117","troR","PR","(--Fe)",1,1,"troR ((--Fe))"
"126","33",0.580501569825856,0.283190284420559,0.0141176301761568,3.44679903953178,49.0979840037599,22.6191202272071,22.4234608333333,0.00686607739727175,"SH117","troR","PR","(--Fe)",2,1,"troR ((--Fe))"
"127","34",0.599588197641414,0.285250746153112,0.0143059332644603,6.78728809890033,48.4517275277597,22.9702734374303,22.7709608333333,0.00726902923198309,"SH117","troR","PR","(--Fe)",3,1,"troR ((--Fe))"
"128","35",0.471290462553205,0.279792004382088,0.0190348895094882,-19.9195655000635,36.4145628591349,22.2090526027089,22.02394,0.00725334828893557,"SH117","troR","PR","(--Fe)",1,2,"troR ((--Fe))"
"129","36",0.604818025194319,0.279508625409162,0.0112121229158091,13.5338845002888,61.8212256291456,21.7162486021985,21.5344308333333,0.00692091659402892,"SH117","troR","PR","(--Fe)",2,2,"troR ((--Fe))"
"130","37",0.456350423282361,0.280346750349439,0.0187071652833795,-24.8847091629132,37.0524967337396,21.9403386373375,21.75769,0.00726166202182124,"SH117","troR","PR","(--Fe)",3,2,"troR ((--Fe))"
"131","38",0.69852235944839,0.283572440565582,0.010892621149841,34.9493677890921,63.6345624276175,22.4022727930178,22.2082083333333,0.0074741361626347,"SH117","troR","PR","(--Fe)",1,3,"troR ((--Fe))"
"132","39",0.676502346330509,0.290424803994642,0.0093292481488713,30.5162365840659,74.2982895833686,22.188226910809,21.9997175,0.00673624446474381,"SH117","troR","PR","(--Fe)",2,3,"troR ((--Fe))"
"134","40",0.367116582048142,0.291501163000207,0.0442941922868295,-30.4641242514099,15.6487147586174,22.0709590354516,21.8919858333333,0.00563620381915387,"SH117","troR","PR","(--Fe)",3,3,"troR ((--Fe))"
